text,closed,all,min,max,date,dow,tweet_id,timestamp
"THURSDAY, AUGUST 22, 2013 jurors with reporting numbers 6000 through and including 6600 are to report for jury service.",0,0.0,6000.0,6600.0,2013-08-22T00:00:00Z,Thursday,370311886027624448,2013-08-21 22:30:08 +0000
"WEDNESDAY, AUGUST 21, 2013 jurors with reporting numbers 4000 through and including 5200 are to report for jury service.",0,0.0,4000.0,5200.0,2013-08-21T00:00:00Z,Wednesday,369949480445300736,2013-08-20 22:30:04 +0000
"TUESDAY, AUGUST 20, 2013 jurors with reporting numbers 2000 through and including 2500 are to report for jury service.",0,0.0,2000.0,2500.0,2013-08-20T00:00:00Z,Tuesday,369587095033380864,2013-08-19 22:30:04 +0000
"MONDAY, AUGUST 19, 2013 jurors with reporting numbers 1 through and including 1100 are to report for jury service.",0,0.0,1.0,1100.0,2013-08-19T00:00:00Z,Monday,369224705963593730,2013-08-18 22:30:04 +0000
"FRIDAY, AUGUST 16, 2013 jurors with reporting numbers 8000 through and including 8700 are to report for jury service.",0,0.0,8000.0,8700.0,2013-08-16T00:00:00Z,Friday,368137541427671040,2013-08-15 22:30:04 +0000
"THURSDAY, AUGUST 15, 2013 jurors with reporting numbers 6000 through and including 6600 are to report for jury service.",0,0.0,6000.0,6600.0,2013-08-15T00:00:00Z,Thursday,367775154623242241,2013-08-14 22:30:04 +0000
"WEDNESDAY, AUGUST 14, 2013 jurors with reporting numbers 4000 through and including 4300 are to report for jury service.",0,0.0,4000.0,4300.0,2013-08-14T00:00:00Z,Wednesday,367412765524508672,2013-08-13 22:30:04 +0000
"TUESDAY, AUGUST 13, 2013 jurors with reporting numbers 2000 through and including 2600 are to report for jury service.",0,0.0,2000.0,2600.0,2013-08-13T00:00:00Z,Tuesday,367050379428896768,2013-08-12 22:30:04 +0000
"MONDAY, AUGUST 12, 2013 jurors with reporting numbers 1 through and including 600 are to report for jury service.",0,0.0,1.0,600.0,2013-08-12T00:00:00Z,Monday,366687999502729219,2013-08-11 22:30:06 +0000
"FRIDAY, AUGUST 9, 2013 jurors with reporting numbers 8000 through and including 8300 are to report for jury service.",0,0.0,8000.0,8300.0,2013-08-09T00:00:00Z,Friday,365600828582670337,2013-08-08 22:30:04 +0000
"THURSDAY, AUGUST 8, 2013 jurors with reporting numbers 6000 through and including 6300 are to report for jury service.",0,0.0,6000.0,6300.0,2013-08-08T00:00:00Z,Thursday,365238439718813697,2013-08-07 22:30:04 +0000
"WEDNESDAY, AUGUST 7, 2013 jurors with reporting numbers 4000 through and including 4700 are to report for jury service.",0,0.0,4000.0,4700.0,2013-08-07T00:00:00Z,Wednesday,364876047864442881,2013-08-06 22:30:03 +0000
"TUESDAY, AUGUST 6, 2013 jurors with reporting numbers 2000 through and including 2700 are to report for jury service.",0,0.0,2000.0,2700.0,2013-08-06T00:00:00Z,Tuesday,364513668790513664,2013-08-05 22:30:05 +0000
"MONDAY, AUGUST 5, 2013 jurors with reporting numbers 1 through and including 300 are to report for jury service.",0,0.0,1.0,300.0,2013-08-05T00:00:00Z,Monday,364151273475833856,2013-08-04 22:30:03 +0000
